keyword,position,page,is_sponsored,brand,matched_sku,asin,title,price,product_url
boAt Nirvana Ion ANC,3,1,Yes,Other: realme,,B0DBGP48NW,realme,"₹2,241",https://www.amazon.in/dp/B0DBGP48NW
boAt Nirvana Ion ANC,4,1,Yes,boAt,,B0BW8TXJJ2,boAt,"₹1,799",https://www.amazon.in/dp/B0BW8TXJJ2
boAt Nirvana Ion ANC,5,1,No,boAt,,B0CF5QFH77,boAt,"₹1,999",https://www.amazon.in/boAt-Nirvana-Ion-ANC-Cancellation/dp/B0CF5QFH77/ref=sr_1_3
boAt Nirvana Ion ANC,6,1,No,boAt,,B0FP9DP8FH,boAt,"₹2,299",https://www.amazon.in/Nirvana-Battery-Bluetooth-Wireless-Earphones/dp/B0FP9DP8FH/ref=sr_1_4
boAt Nirvana Ion ANC,7,1,Yes,Noise,,B0DS2Y94LS,Noise,"₹1,499",https://www.amazon.in/dp/B0DS2Y94LS
boAt Nirvana Ion ANC,8,1,Yes,Noise,,B0D4QNLF6Y,Noise,"₹1,499",https://www.amazon.in/dp/B0D4QNLF6Y
boAt Nirvana Ion ANC,12,1,No,Other: OnePlus,,B0FMDL81GS,OnePlus,"₹1,749",https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDL81GS/ref=sr_1_7
boAt Nirvana Ion ANC,13,1,No,boAt,,B0DGTVLKPT,boAt,"₹1,899",https://www.amazon.in/boAt-Nirvana-Crystl-White-Lustre/dp/B0DGTVLKPT/ref=sr_1_8
boAt Nirvana Ion ANC,14,1,Yes,Noise,,B0FN7J4997,Noise,"₹1,599",https://www.amazon.in/dp/B0FN7J4997
boAt Nirvana Ion ANC,15,1,Yes,Other: GOBOULT,,B0H6B1L8N1,GOBOULT,"₹1,799",https://www.amazon.in/dp/B0H6B1L8N1
boAt Nirvana Ion ANC,16,1,No,boAt,,B0DQKY3R84,boAt,"₹1,999",https://www.amazon.in/boAt-Nirvana-TWS-Bluetooth-Earphones/dp/B0DQKY3R84/ref=sr_1_11
boAt Nirvana Ion ANC,17,1,No,boAt,,B0D4VN3S8T,boAt,"₹2,299",https://www.amazon.in/boAt-Nirvana-Space-Multipoint-Connectivity/dp/B0D4VN3S8T/ref=sr_1_12
boAt Nirvana Ion ANC,18,1,No,boAt,,B0DBHBZZTN,boAt,"₹2,299",https://www.amazon.in/boAt-Tracking-Bluetooth-Wireless-Earphones/dp/B0DBHBZZTN/ref=sr_1_13
boAt Nirvana Ion ANC,19,1,No,Other: Sounce,,B0CJXX6QY2,Sounce,₹179,https://www.amazon.in/Sounce-Earphone-Compatible-Shock-Absorbing-Protective/dp/B0CJXX6QY2/ref=sr_1_14
boAt Nirvana Ion ANC,20,1,No,boAt,,B0G2RZZF9S,boAt,"₹2,799",https://www.amazon.in/boAt-Feedback-Bluetooth-Wireless-Earphones/dp/B0G2RZZF9S/ref=sr_1_15
boAt Nirvana Ion ANC,25,1,No,boAt,,B0DXPL5XHF,boAt,"₹2,799",https://www.amazon.in/boAt-Nirvana-Zenith-Pro-Bluetooth/dp/B0DXPL5XHF/ref=sr_1_16
boAt Nirvana Ion ANC,26,1,No,boAt,,B0F5BDJG4C,boAt,"₹1,399",https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0F5BDJG4C/ref=sr_1_17
boAt Nirvana Ion ANC,27,1,No,boAt,,B09MTQ23X4,boAt,"₹2,745",https://www.amazon.in/boAt-Cancelling-Bluetooth-Headphones-Immersive/dp/B09MTQ23X4/ref=sr_1_18
boAt Nirvana Ion ANC,28,1,No,Other: realme,,B0FBR6HGXM,realme,"₹1,571",https://www.amazon.in/realme-Wireless-Earbuds-Dynamic-Playback/dp/B0FBR6HGXM/ref=sr_1_19
boAt Nirvana Ion ANC,29,1,No,boAt,,B0F8BWZSFD,boAt,"₹1,999",https://www.amazon.in/boAt-Airdopes-Multidevice-Bluetooth-Earphones/dp/B0F8BWZSFD/ref=sr_1_20
boAt Nirvana Ion ANC,30,1,No,boAt,,B09MTR7NRM,boAt,"₹2,399",https://www.amazon.in/boAt-Cancelling-Bluetooth-Headphones-Compatibility/dp/B09MTR7NRM/ref=sr_1_21
boAt Nirvana Ion ANC,31,1,No,boAt,,B0GXB8M9ZV,boAt,"₹5,999",https://www.amazon.in/boAt-Adaptive-AI-ENxTM-Bluetooth-Headphones/dp/B0GXB8M9ZV/ref=sr_1_22
boAt Nirvana Ion ANC,3,2,Yes,Noise,,B0CQJZD55X,Noise,₹999,https://www.amazon.in/dp/B0CQJZD55X
boAt Nirvana Ion ANC,5,2,Yes,Noise,,B0D4QLT8WG,Noise,"₹1,499",https://www.amazon.in/dp/B0D4QLT8WG
boAt Nirvana Ion ANC,6,2,No,boAt,,B0GXBFBFYV,boAt,"₹5,999",https://www.amazon.in/boAt-Adaptive-Playtime-Bluetooth-Headphones/dp/B0GXBFBFYV/ref=sr_1_20
boAt Nirvana Ion ANC,7,2,No,boAt,,B0FC2XZ2JJ,boAt,"₹4,499",https://www.amazon.in/boAt-Tracking-Adaptive-Bluetooth-Earphones/dp/B0FC2XZ2JJ/ref=sr_1_21
